,dates,hour,Daikin.Energy,Pump.Energy,Resistance.Energy,Daikin.Power,Pump.Power,Resistance.Power,Daikin.Heat.Added,Pump.Power.30min,Daikin.Power.10min,City.Water.Temp,Recirc.Return.Temp,Water.HX.Outlet.Temp,Water.To.Fixtures.Temp,Water.To.TrimTank.Temp,Garage.Temp,Water.HX.Inlet.Temp,value,Recirc.Flow,HX.Loop.Flow,Garage.RH,timestep_sum,peak_volumes,peak_hours,peak_norm,site
38,2016-06-15,276,37784790.69999999,2940896.62,22854758.400000006,199.999999998909,6659.999999999858,0.0,88407.97779676125,6661.333333333279,389.9999999994183,1101.3445419103311,2740.726166666668,3112.4808163841785,2796.639333333332,3121.2754999999984,1511.3738333333333,3071.977471751412,273.78100000000006,95.93449999999999,355.76115000000027,1206.4855,24,77.805,7,0.2841869961757755,growA
39,2016-06-16,276,37785355.499999985,2950496.53,22854758.400000006,190.00000000050971,6690.000000000283,0.0,86908.40092596714,6694.333333333368,380.00000000101926,1036.7325346320345,2769.245000000003,3126.8069999999984,2825.1654999999996,3124.356999999998,1522.0790000000002,3086.936666666666,245.93599999999998,96.20146666666668,356.51158333333353,1251.4875000000002,24,73.30399999999997,10,0.29806128423654926,growA
40,2016-06-17,276,37785885.84,2960126.5800000005,22854758.400000006,180.00000000029144,6669.999999999616,0.0,90360.3581191448,6664.333333333298,360.0000000005827,986.7827557720061,2797.499999999998,3104.994468926554,2852.5890000000013,3119.3781666666646,1527.2131666666667,3063.5104378531064,264.8180000000001,96.0017166666667,356.60898333333336,1346.2941666666666,24,90.50800000000002,8,0.34177435068613155,growA
41,2016-06-18,276,37786429.980000004,2969731.8500000006,22854758.400000006,189.9999999986907,6680.000000000289,0.0,83623.78690704494,6676.999999999998,379.9999999973809,869.9746581196582,2810.9926666666684,3101.1847542372902,2865.945833333335,3121.7078333333325,1527.905,3062.8012937853105,202.70799999999994,96.01771666666669,356.72045,1558.8471666666665,24,89.01199999999997,9,0.43911439114391143,growA
42,2016-06-21,276,37787931.38,2997949.46,22854758.400000006,180.0000000002914,6119.999999999889,0.0,82908.3648887204,6121.666666666747,360.0000000005827,1202.648873015873,2808.1046666666675,3082.901042372884,2861.6250000000014,3119.806333333332,1563.3356666666664,3017.0778700565006,204.19200000000012,95.9862,313.79776666666675,1524.6531666666665,24,62.83200000000001,8,0.30771039022096836,growA
43,2016-06-22,276,37788482.36000001,3006680.7600000002,22854758.400000006,239.99999999978215,6170.000000000071,0.0,79410.82225327156,6170.999999999973,479.9999999995635,873.3414047619048,2811.7241666666655,3077.6699350282493,2865.374666666664,3116.039833333332,1581.0848333333336,3010.318166666668,186.93999999999994,95.98466666666668,317.8101166666668,1374.855833333333,24,68.81599999999997,8,0.36811811276345346,growA
44,2016-06-23,276,37789322.05999999,3015665.5399999996,22871580.630000003,230.00000000138272,6480.000000000016,44849.99999999853,66095.03973812964,6482.6666666666515,460.0000000027651,997.9154606684981,2933.295,3021.8278446327686,3004.099833333335,3044.827666666669,1580.654833333333,2982.451833333333,378.41600000000017,93.50085000000003,343.91755000000006,1539.174166666667,24,234.8720000000002,9,0.6206714303834936,growA
45,2016-06-24,276,37789620.06,3025173.8399999994,22973287.270000003,59.99999999949079,6650.00000000009,76290.00000000087,17182.419828369482,6649.666666666645,119.9999999989815,1062.0434563492063,3035.782500000001,3019.211333333332,3118.5809999999988,3004.4963333333353,1611.9371723163842,3011.335562146892,201.96,93.81726666666665,357.8568333333333,1431.1951666666669,24,65.82399999999996,8,0.32592592592592573,growA
46,2016-06-25,276,37789759.12,3034765.1999999997,23081581.669999998,39.9999999990542,6670.000000000072,71829.99999999994,13332.59264462909,6666.333333333387,79.99999999810831,742.6326726190476,3040.083443502827,3011.6491610169473,3120.7148333333353,3000.6136666666675,1635.9726666666666,3005.505666666665,165.30799999999996,94.65008333333334,357.95558333333327,1324.8933333333332,24,53.10799999999999,8,0.3212669683257918,growA
47,2016-06-28,276,37790434.34,3063486.63,23334286.84,50.0000000010915,6630.000000000108,71610.00000000058,15589.302762664194,6631.333333333289,100.0000000021828,1040.1653439153438,3013.3683333333342,2989.9521666666674,3091.3541666666665,2980.863166666666,1715.6580000000004,2982.8844971751414,178.01599999999985,94.83075000000001,358.1033833333332,1286.1245000000001,24,70.33999999999997,8,0.3951330217508541,growA
48,2016-06-29,276,37790512.22,3073041.36,23439103.989999995,59.9999999994908,6639.999999999871,62809.99999999946,20307.021075191034,6636.666666666696,119.99999999898152,1147.7430216450216,3010.3791666666652,3005.4333446327682,3086.6555000000026,2997.3458333333347,1709.3856666666666,2996.200615819209,175.861,94.56651666666669,358.35319999999984,1319.6111666666666,24,46.45699999999998,8,0.2641688606342508,growA
49,2016-06-30,276,37790855.85999999,3082603.230000001,23510775.330000006,209.9999999991273,6630.000000000108,31649.99999999963,64597.54933000971,6633.333333333319,419.9999999982541,1163.3187435897437,2940.3413333333338,3011.0793333333327,3009.1311666666666,3014.9816666666657,1672.2628870056496,2981.7039802259883,270.0829999999999,94.51606666666667,358.8291,1359.864,24,72.62299999999996,9,0.26889141486135737,growA
50,2016-07-01,276,37791396.839999996,3092146.8299999996,23560435.59,140.0000000012372,6630.000000000107,36270.00000000044,46753.80615539459,6632.000000000002,280.0000000024738,1019.8218757763975,2948.5006666666677,3002.6119166179597,3019.3962203389815,3008.020000000003,1695.1354999999996,2981.357677089421,199.729,95.38469999999998,358.8279000000001,1286.2689999999998,24,77.80499999999999,8,0.3895528441037605,growA
51,2016-07-02,276,37791861.86000001,3101705.4,23608147.79,159.9999999998548,6650.000000000089,35069.99999999971,51517.73544667471,6648.000000000031,319.99999999970913,1147.7508322829133,2943.763412429379,3004.0488333333337,3014.0634999999997,3007.7303333333357,1718.844,2980.6842193648954,228.06900000000007,95.61653333333332,359.19088333333315,1369.405166666667,24,97.24000000000001,9,0.4263621974051712,growA
52,2016-07-05,276,37793332.98,3130484.43,23806850.83,159.9999999998548,6619.999999999889,48819.99999999972,47429.38511481572,6625.6666666666815,319.9999999997092,1145.148168165168,2968.125500000001,3006.968769043444,3041.2431638418093,3007.1733333333336,1654.4549039548024,2985.4267391041135,293.92900000000003,95.08536666666669,359.3547000000001,1276.6991666666663,24,92.75199999999995,8,0.3155591996706686,growA
