,time stamp,date,hour,Resistance.Energy,Daikin.Leg1,HX.Loop.Pump,Daikin.Leg2,Heat.Trace.Leg1,Heat.Trace.Leg2,Daikin.Power,HX.Loop.Pump.Power,Resistance.Power,Heat.Trace.Power,Daikin.Heat.Added,Pump.Power.30min,Daikin.Power.10min,Water.HX.Inlet.Temp,Water.HX.Outlet.Temp,City.Water.Temp,Water.To.TrimTank.Temp,Water.To.Fixtures.Temp,Garage.Temp,HX.Loop.Flow,value,Garage.RH,dates,timestep_sum
396,2016-08-27 12:00:00,2016-08-27,12,221713.74,10571.57,691.47,10118.37,10330.6,32737.53,989.9999999999519,50.0000000000007,940.0000000000549,739.9999999998951,2452.1972940211,50.66666666666679,1018.0,82.8748333333333,113.215,62.037727272727295,115.739666666667,124.715,68.94800000000001,1.3962666666666699,42.636,59.73,2016-08-27,1
397,2016-08-27 13:00:00,2016-08-27,13,221766.88,10627.43,696.05,10167.85,10353.47,32759.13,1360.00000000001,49.99999999999889,710.000000000036,740.000000000009,3476.45557280188,52.666666666666096,1325.99999999999,99.1863333333333,119.638333333333,62.7366666666667,114.17933333333299,125.501,69.4593333333333,1.50846666666667,11.22,59.200333333333305,2016-08-27,1
398,2016-08-27 14:00:00,2016-08-27,14,221789.93,10643.33,696.6,10184.35,10376.45,32780.79,470.000000000027,0.0,360.00000000012705,759.999999999991,0.0,0.0,466.000000000031,74.333,117.57783333333299,63.1833333333333,111.5875,124.124333333333,70.79633333333331,0.0374,8.976,56.5613333333333,2016-08-27,1
399,2016-08-27 15:00:00,2016-08-27,15,221809.19,10660.03,697.15,10201.59,10399.57,32802.83,1180.00000000001,50.0000000000007,289.99999999996396,740.000000000009,2390.74655099648,42.000000000000895,1164.99999999997,84.00399999999999,116.835833333333,63.07,109.417833333333,123.843166666667,71.3088333333333,1.6206666666666698,7.48000000000002,54.726000000000006,2016-08-27,1
400,2016-08-27 16:00:00,2016-08-27,16,221842.36,10692.04,699.6,10231.61,10422.59,32824.51,359.99999999995697,0.0,629.999999999654,750.0,175.356761781946,7.9999999999998295,395.999999999998,85.1831666666667,118.910333333333,62.835,112.94,125.232166666667,71.7501666666667,0.0748,16.45600000000002,52.7353333333333,2016-08-27,1
401,2016-08-27 17:00:00,2016-08-27,17,221880.91,10715.83,700.72,10254.39,10445.57,32846.12,1790.0000000000198,70.0000000000003,740.000000000236,740.000000000009,4874.24514583822,63.0000000000003,1740.00000000001,83.6968333333333,116.787,61.74875,112.77483333333299,125.7575,70.665,2.08193333333333,22.44,53.7565,2016-08-27,1
402,2016-08-27 18:00:00,2016-08-27,18,221913.85,10757.27,703.8,10291.84,10468.32,32867.69,329.999999999984,0.0,579.999999999927,740.000000000009,183.639173739742,7.00000000000003,389.999999999992,86.67433333333331,117.65299999999999,62.298,113.42933333333299,126.83733333333299,71.1995,0.0374,13.463999999999999,52.5871666666667,2016-08-27,1
403,2016-08-27 19:00:00,2016-08-27,19,221954.61,10772.74,703.86,10308.12,10491.17,32889.24,910.000000000025,19.999999999999602,610.000000000127,740.000000000009,1901.06037116061,19.999999999999602,930.000000000013,69.2838333333333,116.556333333333,62.3415384615385,112.67816666666701,126.089166666667,69.3603333333333,0.5485333333333329,18.700000000000017,54.7043333333333,2016-08-27,1
404,2016-08-27 20:00:00,2016-08-27,20,221978.93,10822.87,707.82,10353.52,10513.98,32910.81,1349.99999999997,60.0000000000005,379.999999999654,740.000000000009,3227.3250091441996,60.0000000000005,1293.99999999998,106.961666666667,121.11566666666701,62.1416666666667,110.35783333333299,124.796333333333,69.2301666666667,1.82013333333333,15.707999999999998,54.653999999999996,2016-08-27,1
405,2016-08-27 21:00:00,2016-08-27,21,222033.82,10841.35,708.64,10372.33,10536.85,32932.02,530.00000000003,9.999999999999789,1040.00000000042,729.999999999905,145.59127245017598,18.3333333333329,597.00000000002,69.6183333333333,115.806666666667,62.0985,112.980833333333,125.135166666667,68.4551666666667,0.4986666666666671,23.188000000000024,55.1175,2016-08-27,1
406,2016-08-27 22:00:00,2016-08-27,22,222090.07,10905.77,713.88,10427.95,10559.75,32954.0,2650.00000000003,129.999999999999,929.999999999836,750.0,7666.86236975381,120.66666666666599,2592.00000000004,107.373666666667,120.197666666667,62.80875,114.04416666666701,127.667,66.3645,3.60286666666667,28.423999999999975,59.2211666666667,2016-08-27,1
407,2016-08-27 23:00:00,2016-08-27,23,222117.6,10939.87,717.0,10459.32,10582.79,32975.63,479.999999999961,0.0,0.0,750.0,56.3130879249707,0.999999999999979,447.999999999956,90.7345,116.4625,64.085,106.830166666667,119.85616666666701,67.729,0.0249333333333333,6.731999999999999,55.6923333333333,2016-08-27,1
408,2016-08-28 00:00:00,2016-08-28,0,222117.6,10954.15,717.0,10474.35,10605.98,32997.33,469.99999999997004,0.0,0.0,740.000000000009,0.0,0.0,488.99999999999903,87.4651666666667,116.39,,99.4585,110.21833333333299,66.9676666666667,0.0374,0.0,56.6035,2016-08-28,1
409,2016-08-28 01:00:00,2016-08-28,1,222117.6,10968.71,717.0,10489.53,10629.13,33019.27,470.000000000027,0.0,0.0,760.0000000001049,48.26836107854629,0.0,495.00000000001603,90.0426666666667,116.484833333333,,93.0881666666667,94.853,66.9786666666667,0.0374,0.0,56.1655,2016-08-28,1
410,2016-08-28 02:00:00,2016-08-28,2,222123.52,10983.46,717.0,10504.95,10652.53,33041.33,490.000000000009,0.0,340.000000000146,759.999999999991,48.542613130129006,0.0,493.999999999994,90.29,116.507,,91.3936666666667,87.7555,65.965,0.0374,0.0,57.9161666666667,2016-08-28,1
411,2016-08-28 03:00:00,2016-08-28,3,222138.0,10998.26,717.0,10520.46,10675.92,33063.33,480.000000000018,0.0,0.0,750.0,0.0,0.0,504.00000000001296,90.1486666666667,116.35,,90.3071666666667,84.7421666666667,65.9416666666667,0.0374,0.0,57.5305,2016-08-28,1
412,2016-08-28 04:00:00,2016-08-28,4,222138.0,11013.32,717.0,10536.11,10699.2,33085.42,509.999999999991,0.0,0.0,759.999999999991,0.0,0.0,494.99999999999903,89.9255,116.40100000000001,,89.9168333333333,83.79033333333331,65.9923333333333,0.0374,0.0,57.3046666666667,2016-08-28,1
413,2016-08-28 05:00:00,2016-08-28,5,222138.0,11028.34,717.0,10551.71,10722.6,33107.34,519.999999999982,0.0,0.0,759.999999999991,0.0,10.6666666666673,506.999999999982,90.3846666666667,116.27183333333299,,89.2626666666667,83.2698333333333,66.2,0.199466666666667,0.0,57.179166666666696,2016-08-28,1
414,2016-08-28 06:00:00,2016-08-28,6,222148.45,11070.02,721.62,10590.61,10746.0,33129.32,1990.00000000001,140.000000000001,329.999999999927,750.0,4459.00925627198,125.333333333333,1973.00000000001,116.095166666667,123.484333333333,67.55,86.9155,83.9036666666667,64.38516666666669,4.02673333333333,1.495999999999998,60.286,2016-08-28,1
415,2016-08-28 07:00:00,2016-08-28,7,222159.29,11101.06,725.4,10620.88,10769.25,33151.37,360.00000000001404,0.0,329.999999999927,760.0000000001049,0.0,3.99999999999991,380.000000000007,100.105666666667,116.28766666666701,65.905,90.7866666666667,103.623666666667,66.1723333333333,0.0249333333333333,3.739999999999998,56.3435,2016-08-28,1
416,2016-08-28 08:00:00,2016-08-28,8,222223.35,11121.45,725.8,10640.9,10792.61,33173.16,1600.0000000000198,40.000000000000895,1369.99999999989,739.999999999782,3516.3683880421995,45.0000000000002,1620.9999999999802,78.1776666666667,115.742333333333,62.3034482758621,115.3645,128.0355,64.709,1.4212,41.14000000000002,58.5946666666667,2016-08-28,1
417,2016-08-28 09:00:00,2016-08-28,9,222304.42,11199.55,732.47,10707.44,10815.49,33194.74,2139.99999999999,129.999999999999,970.000000000255,740.000000000009,4994.58694607269,123.66666666666599,2105.00000000003,109.934333333333,119.259166666667,61.59588235294121,115.337666666667,128.912833333333,64.1371666666667,3.74,26.927999999999997,60.193000000000005,2016-08-28,1
418,2016-08-28 10:00:00,2016-08-28,10,222347.66,11246.91,736.72,10750.31,10838.11,33216.27,2209.99999999992,70.0000000000003,1099.99999999991,740.000000000009,7446.765956623679,76.3333333333335,2219.99999999998,85.8025,115.966833333333,61.8478571428571,117.508333333333,130.5655,65.6915,2.2190666666666696,59.839999999999975,56.8796666666667,2016-08-28,1
419,2016-08-28 11:00:00,2016-08-28,11,222431.26,11326.41,742.79,10819.68,10860.71,33237.36,1280.00000000003,60.0000000000005,1179.9999999998402,730.000000000018,3149.87622977726,55.000000000000604,1298.0,90.8315,119.799333333333,61.721923076923105,116.714166666667,127.982166666667,66.2076666666667,1.5957333333333301,35.904,56.3461666666667,2016-08-28,1
420,2016-08-28 12:00:00,2016-08-28,12,222481.18,11375.77,745.73,10864.23,10883.55,33258.92,2969.99999999997,109.999999999999,1159.99999999985,740.000000000123,10648.0553043376,106.0,2948.0,85.0885,114.78216666666701,61.15,116.744333333333,128.043333333333,65.83466666666669,3.3036666666666696,56.1,55.4065,2016-08-28,1
421,2016-08-28 13:00:00,2016-08-28,13,222546.07,11448.78,751.1,10928.98,10906.53,33280.54,790.0000000000771,19.999999999999602,900.000000000091,740.000000000009,1282.7744603890599,24.666666666666103,793.000000000018,82.4786666666667,119.840169491525,61.05,115.5055,125.697166666667,67.654,0.810333333333333,27.676000000000027,53.1933333333333,2016-08-28,1
422,2016-08-28 14:00:00,2016-08-28,14,222598.64,11485.99,753.99,10963.13,10929.64,33302.39,1939.99999999994,89.9999999999999,730.000000000018,759.999999999991,5560.03982602579,89.3333333333332,1923.99999999996,93.4136666666667,114.13183333333299,61.6046153846154,113.798833333333,125.075,68.4023333333333,2.6803333333333303,19.44799999999998,52.891999999999996,2016-08-28,1
423,2016-08-28 15:00:00,2016-08-28,15,222622.2,11522.86,756.6,10996.96,10952.9,33324.26,420.00000000001603,0.0,0.0,750.0,0.0,0.0,412.000000000035,87.5638333333333,117.3055,62.36,108.071,120.92466666666701,70.6671666666667,0.0249333333333333,4.488,50.7968333333333,2016-08-28,1
