,dates,hour,Resistance.Energy,Daikin.Leg1,HX.Loop.Pump,Daikin.Leg2,Heat.Trace.Leg1,Heat.Trace.Leg2,Daikin.Power,HX.Loop.Pump.Power,Resistance.Power,Heat.Trace.Power,Daikin.Heat.Added,Pump.Power.30min,Daikin.Power.10min,Water.HX.Inlet.Temp,Water.HX.Outlet.Temp,City.Water.Temp,Water.To.TrimTank.Temp,Water.To.Fixtures.Temp,Garage.Temp,HX.Loop.Flow,value,Garage.RH,timestep_sum,peak_volumes,peak_hours,peak_norm,site
10,2016-08-25,276,5293060.930000001,221689.97999999998,14501.640000000003,212443.38999999998,221319.90999999997,760616.8099999999,19820.00000000001,649.9999999999986,9950.000000000282,17799.999999999953,40168.856955685806,649.9999999999984,19833.0,2163.0109999999995,2836.817166666665,1204.9999433023117,2591.8382062146875,2825.186104519772,1747.0726666666667,19.97159999999999,288.7280000000001,1077.7985,24,118.93200000000019,8,0.4119170984455963,growB
11,2016-08-26,276,5305924.61,236149.69999999995,15393.67,226347.29,234509.97,773047.6200000001,19500.00000000002,640.0000000000008,8239.999999999782,17759.99999999999,40409.10175287224,640.0000000000001,19529.999999999996,2129.1660536723152,2836.5638333333322,1217.680243956044,2554.267833333333,2754.7174632768365,1763.3417541398787,19.7846,296.956,1073.124166666667,24,139.128,8,0.46851385390428213,growB
12,2016-08-27,276,5320364.03,252286.01999999993,16465.67,241616.53,247666.63000000006,785451.0100000001,26440.0,939.9999999999994,12920.000000000076,17809.999999999945,60738.327611957815,939.9999999999993,26383.000000000004,2164.3736666666673,2822.353499999999,1125.7838340506612,2597.107833333332,2807.626166666667,1669.569833333333,28.511266666666675,445.06000000000023,1335.7504999999999,24,132.39600000000024,10,0.297478991596639,growB
13,2016-08-30,276,5376915.4799999995,312163.36999999994,20460.81,296991.8700000001,287517.75999999995,823021.8500000001,24809.999999999985,829.9999999999995,11359.999999999665,17990.000000000007,50181.97475632564,830.0000000000002,24840.0,2143.347703389831,2814.377330508475,1179.654409070462,2568.332833333331,2814.617833333334,1606.7214096045197,25.244999999999997,381.45599999999996,1386.9114999999997,24,157.0810000000002,7,0.41179323434419746,growB
14,2016-08-31,276,5393855.860000001,331475.8600000001,21811.330000000005,314977.5,300841.0,835588.09,26820.00000000004,989.9999999999995,12180.000000000286,17980.00000000002,59214.60931864012,990.0000000000006,26769.000000000047,2145.0043333333333,2818.3583333333318,1116.8672785714286,2578.32,2800.663333333334,1598.5531666666661,30.019933333333352,412.1480000000001,1608.0323333333333,24,175.78,8,0.42649727767695095,growB
15,2016-09-01,276,5412445.57,351407.37999999995,23183.97,333412.08999999997,314165.1099999999,848164.93,27089.999999999916,949.9999999999995,13319.999999999718,17990.000000000015,58780.26345389846,949.999999999998,27086.999999999935,2112.579666666666,2821.525104519775,984.9314072557878,2552.526166666664,2783.6558531073465,1590.9814999999999,28.636100000000006,391.208,1536.7843333333335,24,158.57999999999998,7,0.40535980859287124,growB
16,2016-09-02,276,5431976.470000001,371541.74000000005,24571.030000000006,351911.10000000003,327538.67999999993,860801.0400000002,26090.00000000003,950.0000000000001,13329.999999999929,18090.000000000036,56106.64926400942,949.9999999999999,26113.000000000022,2149.750570621469,2824.6191666666664,1116.2048114753327,2551.2373333333335,2850.141014124296,1601.7573333333332,28.56113333333335,393.44800000000015,1528.8129999999999,24,151.0960000000002,8,0.3840304182509509,growB
17,2016-09-03,276,5448708.809999999,390108.34,25824.119999999995,369124.66,340949.78,873460.26,25200.000000000044,880.000000000002,11190.000000000058,18180.000000000065,51919.926741228395,884.3333333333347,25254.000000000004,2138.7410000000004,2829.8311751412425,1047.402611561283,2523.5414999999985,2734.116166666668,1618.787508474576,26.37946666666668,365.02399999999994,1422.7223333333332,24,153.34000000000003,10,0.4200819672131149,growB
18,2016-09-06,276,5505378.380000002,453135.75,30131.609999999997,426535.33999999997,381309.44999999995,911537.19,29060.000000000047,970.0000000000028,14190.000000000062,18139.999999999876,65751.79167872218,964.0000000000018,29019.000000000044,2099.4961666666663,2825.9656666666674,1033.0350122801176,2580.980833333334,2819.579502824857,1580.7748135593224,29.20858333333334,437.56800000000027,1570.9001666666663,24,163.8120000000002,7,0.3743692408951297,growB
19,2016-09-07,276,5526009.9799999995,475280.70999999996,31613.52,446556.08,394700.26,924184.0600000002,28779.99999999998,1049.9999999999975,13569.999999999709,18120.000000000124,65239.87940427204,1055.9999999999973,28773.999999999945,2157.8358333333326,2827.482415254234,1155.4399469759708,2605.878333333334,2884.504666666667,1594.5353333333337,31.70273333333334,447.30399999999975,1649.5816666666667,24,191.4879999999998,7,0.4280936454849496,growB
20,2016-09-08,276,5544313.73,496763.4400000001,33160.23000000001,465992.64999999997,408153.99,936896.49,27720.000000000015,1089.9999999999998,11830.000000000377,18109.999999999898,64914.235617116006,1089.9999999999993,27733.000000000044,2175.331528248588,2840.4165000000003,1099.7022270070622,2647.0101666666665,2860.610960451975,1614.0038333333334,32.413333333333334,466.00399999999985,1492.4988333333333,24,204.95199999999983,7,0.43980738362760813,growB
21,2016-09-09,276,5557447.4700000025,517158.85,34700.10999999999,484379.58999999997,421599.98,949599.4199999999,26899.999999999858,1160.0000000000011,5639.999999999872,18389.999999999985,60301.92411234923,1160.0000000000014,26905.99999999989,2272.8084717514125,2862.266437853109,1038.535919687303,2728.503590395481,2871.2774491525415,1615.017666666667,34.35813333333334,433.1600000000002,1259.2823333333338,24,163.81200000000024,8,0.37817896389324995,growB
22,2016-09-10,276,5562745.860000002,537171.66,36665.97,502621.20999999996,435328.88,962565.08,28990.000000000022,1700.0000000000034,1400.0000000000919,18630.00000000011,68066.73845678756,1698.666666666668,28961.000000000022,2445.390932203389,2861.759516949153,1097.1309197158137,2748.529333333332,2781.522152542375,1629.3444265536723,49.79286666666668,492.73800000000017,1283.2875,24,168.30000000000018,11,0.34156082948747635,growB
23,2016-09-13,276,5569884.5600000005,602092.8400000001,43815.15000000001,561695.32,476615.59,1001575.1899999998,27000.0,1450.0000000000002,1259.999999999763,18609.999999999905,64042.210778552326,1449.9999999999995,27006.999999999935,2346.5319285018513,2877.3465367231643,1094.2776997539497,2746.8929999999973,2772.1093954802236,1645.1006666666672,42.71145000000003,449.55599999999987,1037.5256666666667,24,174.2839999999998,7,0.3876802889962538,growB
24,2016-09-14,276,5571890.34,622863.4299999999,46163.6,580631.36,490386.34,1014590.6699999997,28200.000000000025,1800.0000000000025,2030.0000000001999,18580.000000000156,67976.64124182255,1802.666666666666,28222.000000000025,2389.925954022988,2874.149999999998,853.5095833985416,2746.6022570621467,2786.3460000000005,1650.718137931035,53.00863333333335,465.2200000000001,1071.8848333333333,24,208.69200000000018,7,0.44858776492842123,growB
25,2016-09-15,276,5574869.36,643884.7299999999,48398.02999999999,599674.6499999999,504173.10000000003,1027625.1600000001,29100.00000000001,1460.000000000003,1840.000000000145,18699.99999999982,71083.49814390384,1457.333333333335,29089.000000000044,2406.3033207675817,2867.512166666669,1031.877469446554,2740.1738333333346,2775.3537711864424,1629.8843389830508,42.773683333333345,494.4440000000004,1307.178666666667,24,207.21200000000022,7,0.41908082614006853,growB
26,2016-09-16,276,5577887.729999999,665286.8900000001,50220.849999999984,619125.84,518032.3099999998,1040727.2899999999,27480.00000000003,1250.0000000000011,2549.999999999727,18730.000000000025,64437.5601405409,1250.0000000000005,27475.00000000002,2299.0978474576264,2872.3237288135583,1030.3385617715617,2728.2736666666683,2768.171666666666,1614.9441666666664,36.58966666666669,443.5639999999997,1363.5110000000002,24,170.544,8,0.3844856661045534,growB
27,2016-09-17,276,5581108.36,686161.24,52333.329999999994,638292.64,531875.7799999999,1053808.23,29789.99999999996,1629.999999999998,1960.000000000037,18650.000000000095,70066.16019045835,1629.9999999999975,29791.999999999956,2400.0526327683606,2868.430333333334,1214.5322462532724,2765.003333333333,2817.1881666666677,1578.0428333333336,48.23353333333335,483.2209999999997,1661.9878333333336,24,192.98399999999978,10,0.3993700604899205,growB
28,2016-09-20,276,5589666.719999998,757002.68,59419.73999999998,702124.82,573113.4700000001,1092370.49,28674.482758620685,1405.1724137931028,2140.0000000003274,18837.5862068965,63287.37791244863,1401.0808080808065,28761.515151515105,2302.2204717514132,2869.2221299435046,1325.3406186032807,2779.3017768361588,2843.479370056497,1592.9928531073447,40.94348954802261,458.02447457627136,1251.66902259887,24,160.33247457627138,7,0.350052199120142,growB
29,2016-09-21,276,5592789.609999998,779745.16,61600.91,722672.1699999999,587469.7999999999,1106324.2000000002,30949.999999999818,1600.0000000000027,980.0000000000181,18900.000000000095,73557.90802086756,1596.0000000000014,30950.999999999935,2311.4164999999994,2866.9941666666655,1209.420848191683,2783.652833333334,2831.049230629541,1592.8043333333337,46.88738333333335,528.1030000000001,1245.5071666666663,24,200.46399999999997,7,0.37959261734926697,growB
30,2016-09-22,276,5594974.289999997,801764.61,63824.509999999995,742794.91,601460.3900000001,1119547.3800000001,28500.000000000004,1620.0000000000002,2129.9999999996553,18849.999999999916,63484.82104273156,1623.9999999999986,28497.000000000116,2413.2728333333343,2863.0871666666662,1087.3371355220086,2745.8045000000006,2769.9109774011304,1581.2117126436785,46.663783333333356,456.2229999999998,1243.653833333333,24,171.24499999999983,7,0.3753537195625821,growB
31,2016-09-23,276,5598219.509999998,825892.9700000001,66593.73999999999,764533.7099999998,615432.9600000001,1132747.68,33119.99999999988,2020.0000000000057,2870.0000000003465,18900.000000000095,71942.46842779621,2017.3333333333328,33113.999999999796,2370.1103135593225,2867.9899887005663,1140.715103576836,2768.6537824858747,2839.8751666666667,1526.7183333333335,58.56908333333335,494.48800000000006,1466.083166666667,24,226.64399999999998,8,0.458340748410477,growB
32,2016-09-24,276,5601902.17,847901.1099999999,69166.54,784601.5299999999,629385.6699999999,1145922.53,27540.000000000196,1589.9999999999977,1519.9999999999823,18809.99999999995,60185.95113180204,1592.6666666666667,27554.000000000156,2411.967160919541,2868.517717514123,1024.7405828383087,2740.583637931034,2782.02927118644,1566.3181666666665,46.678000000000004,422.83999999999986,1362.8876666666667,24,172.03999999999982,8,0.4068678459937562,growB
33,2016-09-27,276,5609951.400000001,913342.1499999998,75874.40999999999,844158.7300000002,671035.75,1185256.9199999997,27660.00000000007,1259.9999999999995,1670.000000000073,18769.99999999999,65992.32043188745,1250.9999999999989,27635.00000000004,2232.6218333333345,2865.498,1142.993421957672,2765.862666666667,2806.2524999999982,1657.7672090395483,37.038466666666686,490.6270000000002,1197.1264999999999,24,207.94400000000022,7,0.4238331767309996,growB
34,2016-09-28,276,5612142.050000001,935575.7800000001,77883.73,864300.62,684972.85,1198406.7999999998,28980.000000000015,1340.0000000000055,2099.999999999909,18819.99999999994,72287.50822170204,1349.0000000000023,28965.99999999998,2318.1156190337033,2865.2035480226,1137.1968775564987,2755.4461666666666,2789.774500000001,1626.1086016949155,39.033133333333346,512.3439999999998,1097.4896666666666,24,212.432,7,0.4146276720328531,growB
35,2016-09-29,276,5615596.349999998,958099.7000000001,80261.42000000001,884695.2499999999,698893.23,1211550.73,31809.99999999994,1860.0000000000034,2910.00000000031,18799.99999999996,76026.64157927157,1863.333333333332,31864.999999999993,2372.261519774013,2868.0176666666675,1073.4613561778724,2728.2430141242935,2791.2128276836165,1573.923833333333,54.14099999999999,495.15399999999977,1100.4936666666663,24,216.17199999999977,7,0.43657528768827447,growB
36,2016-09-30,276,5619865.040000001,980577.46,82682.10999999999,905161.52,712859.64,1224744.08,28190.00000000004,1720.0000000000025,3329.999999999926,18870.000000000124,60719.77081946868,1716.6666666666656,28167.00000000004,2448.448889830508,2863.1230114942528,1074.503288911381,2743.632833333335,2791.3171666666653,1571.4534491525424,49.417683333333315,459.2100000000001,1126.1038333333336,24,179.52000000000024,8,0.3909322532174826,growB
37,2016-10-01,276,5623433.73,1003001.22,85213.25999999998,925436.6599999999,726328.29,1237075.92,36205.86206896562,2075.172413793108,969.9999999998,18926.551724137797,83548.68564909298,2067.9285714285725,36191.091525423624,2474.229361581921,2867.068590395481,1134.8111877989495,2753.528796610171,2817.780838983053,1527.9977514124294,60.29773728813557,575.608847457627,1394.7442005649716,24,197.47299999999984,12,0.3430680415567043,growB
38,2016-10-04,276,5635002.1,1082022.8099999998,94988.47000000002,996404.2700000001,768889.42,1277642.6199999996,36230.00000000002,2850.0000000000095,1900.0000000000912,18980.000000000022,78507.42680639421,2852.6666666666706,36222.0,2652.934274011299,2880.8091412429367,1118.1166106862504,2765.7588916464897,2813.248720338984,1473.7583333333337,82.5170833333333,543.822,1612.9558333333334,24,199.71600000000018,9,0.36724516477818137,growB
39,2016-10-05,276,5637569.360000002,1109116.2000000002,99980.84000000001,1020732.9500000002,782976.75,1290955.8099999998,32859.9999999999,3029.9999999999895,1719.999999999799,19059.99999999995,72170.2394861764,3027.3333333333303,32854.999999999905,2659.4458474576277,2901.1679934736007,1064.3051887708482,2756.306378531074,2772.8672401129925,1516.176,87.03846666666664,516.8090000000001,1511.0249999999999,24,206.38899999999995,7,0.39935256545454884,growB
40,2016-10-06,276,5641006.509999997,1135194.77,103299.04000000001,1044081.7100000001,797067.9600000001,1304272.1099999996,39410.0000000001,2720.0000000000123,3290.0000000004193,18960.000000000044,95559.79776192,2725.0000000000077,39424.00000000006,2589.1508302162497,2864.3985790960464,1063.8349879426128,2743.2970848431705,2798.719935028249,1472.1606666666664,78.98861666666664,632.0599999999996,1558.9399999999998,24,269.28,8,0.42603550295858006,growB
41,2016-10-07,276,5644287.170000002,1163973.27,108331.53000000001,1069699.1,811145.9299999999,1317563.53,32980.000000000015,3339.999999999989,1329.9999999999272,19079.999999999935,66531.70108347012,3341.9999999999977,33011.99999999996,2739.121912429379,2913.8444096045187,1122.9786025469862,2778.780999999999,2814.5903333333354,1482.3515000000002,96.41719999999998,509.014,1558.5154999999997,24,154.83600000000015,8,0.3041880969875095,growB
42,2016-10-08,276,5646525.41,1189392.03,111611.87000000002,1092483.9,824683.24,1329949.9799999997,35788.965517241246,1804.8275862068929,2449.9999999998186,19057.24137931055,89482.19590263681,1803.8135593220336,35710.81632653069,2422.114324858757,2869.877338983052,946.7911989698349,2733.0620451977406,2752.3836581920896,1493.8599858757063,52.96816242937854,572.8264237288136,1897.0109209039551,24,216.0304237288134,11,0.3771306887740327,growB
43,2016-10-11,276,5656442.79,1270214.63,121971.74,1164997.0599999998,867528.4500000001,1370771.76,34349.99999999991,3640.0000000000005,3309.9999999999454,18989.99999999979,69498.52936897993,3642.0000000000027,34351.00000000002,2805.928341807913,2917.0395169491517,1109.9208818940363,2757.4184999999993,2814.5341666666664,1475.0366666666669,104.83569999999996,487.62299999999993,1051.1966666666665,24,202.708,7,0.41570639612979704,growB
44,2016-10-12,276,5660865.849999998,1295830.9200000002,127102.20999999999,1188169.84,881632.0399999998,1384117.0899999999,32800.00000000019,3030.000000000002,2280.0000000002,19110.00000000013,66882.66995581277,3025.3333333333308,32791.000000000044,2675.9554652250135,2906.1979989490083,1165.7116628829208,2781.6075338983046,2847.0478135593225,1456.9816553672315,87.59726384180789,474.77083050847466,1133.6985197740114,24,159.305,8,0.3355408330991733,growB
45,2016-10-13,276,5664529.120000002,1320911.3000000003,130781.02000000002,1210961.6800000002,895732.5499999999,1397447.2300000002,32779.99999999998,3030.000000000001,1860.0000000001269,19079.999999999927,66131.83012635761,3032.333333333335,32795.0,2651.9073757062156,2863.944988505747,1102.7722051184112,2771.9121666666665,2856.6244717514132,1448.1146666666664,88.00219999999997,477.97200000000026,1810.6536666666666,24,165.3080000000002,6,0.34585289514867,growB
46,2016-10-14,276,5662624.81,1340574.6599999997,135751.28000000003,1229390.3,907999.3100000002,1407903.46,22880.34482758617,3629.655172413783,7173.103448275737,18920.453720508074,50555.17618942477,3636.4022988505785,23094.367346938678,2427.1762701149432,2504.629461718294,1041.2144698564605,2718.6776091954016,2829.76009039548,1430.5334022988507,104.35416781609193,489.44993103448303,1743.1990114942525,24,173.53600000000017,8,0.35455311973018566,growB
47,2016-10-18,276,5736521.5200000005,1435209.5299999998,156247.75000000003,1316309.48,964776.2600000001,1462699.32,34190.00000000003,3639.999999999986,13050.000000000176,18809.99999999995,55221.942207353924,3643.666666666668,34230.999999999956,2730.9974999999977,2826.6686299434996,1206.0859050491993,2674.5074915254227,2921.5423022598884,1392.5771666666667,104.89459999999995,458.512,1762.3628333333334,24,167.552,7,0.36542555047632336,growB
48,2016-10-19,276,5755167.979999998,1460778.0800000005,161481.25000000003,1340035.94,978632.45,1475809.3499999999,34590.00000000015,3630.0000000000105,12829.999999999929,18700.00000000005,60919.39690999269,3629.000000000002,34547.00000000008,2734.150499999998,2833.0691581920914,1091.050850680026,2677.5713333333333,2958.499940677967,1402.4415000000001,104.99399999999997,465.28200000000004,1689.0565000000001,24,178.772,8,0.3842229013802382,growB
49,2016-10-20,276,5772614.399999999,1485580.11,166718.37,1363502.81,992529.2000000001,1488959.0900000003,34229.999999999796,3659.9999999999973,12949.99999999982,18869.99999999989,60571.57946041895,3655.666666666667,34252.999999999905,2726.559166666666,2828.4521494252886,1025.8271566678889,2654.136166666668,2923.8480395480246,1416.5303333333334,104.96946666666662,468.212,1892.0196666666666,24,156.33200000000016,8,0.3338914850537794,growB
50,2016-10-21,276,5791285.36,1511207.34,172007.78000000003,1388388.2999999998,1006517.7999999998,1502170.7399999998,35610.00000000036,3670.0000000000036,14030.0000000002,18840.000000000146,64521.77420778017,3669.66666666667,35638.0000000001,2720.9185000000007,2829.401514124292,1023.4257057844114,2670.761833333332,2941.6526666666637,1404.1721666666665,104.85881666666664,519.8760000000002,1781.8386666666668,24,190.71800000000013,8,0.36685286491394115,growB
51,2016-10-22,276,5812727.659999999,1538236.0,177286.02999999997,1414608.52,1020441.9400000002,1515305.99,38219.9999999998,3659.9999999999955,15170.000000000075,18789.999999999964,78900.51251925902,3666.000000000002,38211.99999999993,2690.422700564971,2818.2366525423745,1030.500479410055,2663.9951666666666,2945.2580000000016,1409.904666666667,104.85683333333331,569.0210000000003,1620.7578333333333,24,266.8410000000004,11,0.46894754323654175,growB
