,time stamp,date,hour,Daikin.Energy,Pump.Energy,Resistance.Energy,Daikin.Power,Pump.Power,Resistance.Power,Daikin.Heat.Added,Pump.Power.30min,Daikin.Power.10min,City.Water.Temp,Recirc.Return.Temp,Water.HX.Outlet.Temp,Water.To.Fixtures.Temp,Water.To.TrimTank.Temp,Garage.Temp,Water.HX.Inlet.Temp,value,Recirc.Flow,HX.Loop.Flow,Garage.RH,dates,timestep_sum
586,2016-05-15 10:00:00,2016-05-15,10,0.0,0.0,0.0,,,,4399.75252966003,,,59.296666666666695,112.472833333333,131.193166666667,114.679666666667,129.927166666667,61.551333333333304,129.13333333333298,15.707999999999998,4.0333333333333306,14.561066666666699,66.8041666666667,2016-05-15,1
587,2016-05-15 11:00:00,2016-05-15,11,0.0,0.0,0.0,,,,3758.5329495896794,,,59.07,113.7925,131.341,116.475833333333,129.90383333333298,62.1805,129.5795,5.983999999999998,4.0333333333333306,14.5486,66.0628333333333,2016-05-15,1
588,2016-05-15 12:00:00,2016-05-15,12,0.0,0.0,0.0,,,,1644.6347029308301,,,59.8945,113.2165,127.104,114.7105,130.323833333333,64.3746666666667,126.33683333333299,29.172,3.9833333333333303,14.561066666666699,61.066166666666696,2016-05-15,1
589,2016-05-15 13:00:00,2016-05-15,13,0.0,0.0,0.0,,,,6418.814416881601,,,59.54,112.67333333333299,130.881333333333,115.703833333333,129.827,61.0411666666667,127.874666666667,7.48000000000002,4.05,14.561066666666699,69.0168333333333,2016-05-15,1
590,2016-05-15 14:00:00,2016-05-15,14,0.0,0.0,0.0,,,,3240.43425720985,,,,115.0755,131.358666666667,117.17816666666701,129.840833333333,62.4188333333333,129.842333333333,8.22799999999998,4.0333333333333306,14.561066666666699,66.0061666666667,2016-05-15,1
591,2016-05-15 15:00:00,2016-05-15,15,0.0,0.0,0.0,,,,2747.1828007034,,,61.29,113.684833333333,130.92666666666702,116.191833333333,130.4645,63.4043333333333,129.640833333333,10.47199999999998,4.05,14.561066666666699,64.1826666666667,2016-05-15,1
592,2016-05-15 16:00:00,2016-05-15,16,0.0,0.0,0.0,,,,132.29918968347098,,,,115.46833333333299,126.190833333333,117.839333333333,130.297666666667,66.1896666666667,126.12883333333299,1.495999999999998,4.0333333333333306,14.536133333333302,57.5641666666667,2016-05-15,1
593,2016-05-15 17:00:00,2016-05-15,17,0.0,0.0,0.0,,,,3281.4623641266103,,,59.935,114.537833333333,124.854,116.746333333333,130.129,63.9795,123.316,7.48000000000002,4.0333333333333306,14.536133333333302,62.758,2016-05-15,1
594,2016-05-15 18:00:00,2016-05-15,18,0.0,0.0,0.0,,,,6030.29067713951,,,60.81625,113.34700000000001,130.527166666667,115.4205,129.247333333333,61.483000000000004,127.69566666666701,17.20399999999998,4.0,14.5236666666667,69.17433333333331,2016-05-15,1
595,2016-05-15 19:00:00,2016-05-15,19,0.0,0.0,0.0,,,,5029.34382274327,,,59.467,112.084833333333,130.859166666667,114.27183333333299,129.530666666667,61.914166666666695,128.5015,16.45600000000002,4.01666666666667,14.5486,68.7026666666667,2016-05-15,1
